Unnamed: 0,delta,tau,gamma,beta_s,beta_h,beta_c,c_w,c_c,r_w,r_c,y
102,0.1025390625,0.7412109375,0.3076171875,2.32421875,2.67578125,4.00390625,74.90234375,25.68359375,57.12890625,31.34765625,0.06475047378395452
103,0.1025390625,0.7412109375,0.3076171875,19.66796875,1.66015625,4.00390625,74.90234375,25.68359375,57.12890625,31.34765625,0.03663929248262792
104,0.1025390625,0.7412109375,0.3076171875,19.66796875,2.67578125,13.80859375,74.90234375,25.68359375,57.12890625,31.34765625,0.03695514845230575
105,0.1025390625,0.7412109375,0.3076171875,19.66796875,2.67578125,4.00390625,98.92578125,25.68359375,57.12890625,31.34765625,0.147820593809223
106,0.1025390625,0.7412109375,0.3076171875,19.66796875,2.67578125,4.00390625,74.90234375,3.41796875,57.12890625,31.34765625,0.04485154769425142
107,0.1025390625,0.7412109375,0.3076171875,19.66796875,2.67578125,4.00390625,74.90234375,25.68359375,50.29296875,31.34765625,0.09665192672141504
108,0.1025390625,0.7412109375,0.3076171875,19.66796875,2.67578125,4.00390625,74.90234375,25.68359375,57.12890625,29.00390625,0.05653821857233102
109,0.1025390625,0.7412109375,0.3076171875,19.66796875,2.67578125,4.00390625,74.90234375,25.68359375,57.12890625,31.34765625,0.0574857864813645
110,0.8779296875,0.6259765625,0.8291015625,12.32421875,11.66015625,3.80859375,48.92578125,53.41796875,0.29296875,79.00390625,0.04769425142135186
111,0.6025390625,0.6259765625,0.8291015625,12.32421875,11.66015625,3.80859375,48.92578125,53.41796875,0.29296875,79.00390625,0.0
112,0.8779296875,0.2412109375,0.8291015625,12.32421875,11.66015625,3.80859375,48.92578125,53.41796875,0.29296875,79.00390625,0.014213518635502211
113,0.8779296875,0.6259765625,0.8076171875,12.32421875,11.66015625,3.80859375,48.92578125,53.41796875,0.29296875,79.00390625,0.03474415666456096
114,0.8779296875,0.6259765625,0.8291015625,9.66796875,11.66015625,3.80859375,48.92578125,53.41796875,0.29296875,79.00390625,0.0410612760581175
115,0.8779296875,0.6259765625,0.8291015625,12.32421875,12.67578125,3.80859375,48.92578125,53.41796875,0.29296875,79.00390625,0.0022109917877447885
116,0.8779296875,0.6259765625,0.8291015625,12.32421875,11.66015625,14.00390625,48.92578125,53.41796875,0.29296875,79.00390625,0.06001263423878711
117,0.8779296875,0.6259765625,0.8291015625,12.32421875,11.66015625,3.80859375,24.90234375,53.41796875,0.29296875,79.00390625,0.041692987997473153
118,0.8779296875,0.6259765625,0.8291015625,12.32421875,11.66015625,3.80859375,48.92578125,75.68359375,0.29296875,79.00390625,0.019898926089703096
119,0.8779296875,0.6259765625,0.8291015625,12.32421875,11.66015625,3.80859375,48.92578125,53.41796875,7.12890625,79.00390625,0.013581806696146557
120,0.8779296875,0.6259765625,0.8291015625,12.32421875,11.66015625,3.80859375,48.92578125,53.41796875,0.29296875,81.34765625,0.029374605180037903
121,0.8779296875,0.2412109375,0.8076171875,9.66796875,12.67578125,14.00390625,24.90234375,75.68359375,7.12890625,81.34765625,0.05527479469361971
122,0.6025390625,0.6259765625,0.8076171875,9.66796875,12.67578125,14.00390625,24.90234375,75.68359375,7.12890625,81.34765625,0.005369551484523057
123,0.6025390625,0.2412109375,0.8291015625,9.66796875,12.67578125,14.00390625,24.90234375,75.68359375,7.12890625,81.34765625,0.049273531269740996
124,0.6025390625,0.2412109375,0.8076171875,12.32421875,12.67578125,14.00390625,24.90234375,75.68359375,7.12890625,81.34765625,0.08149084017687934
125,0.6025390625,0.2412109375,0.8076171875,9.66796875,11.66015625,14.00390625,24.90234375,75.68359375,7.12890625,81.34765625,0.06601389766266583
126,0.6025390625,0.2412109375,0.8076171875,9.66796875,12.67578125,3.80859375,24.90234375,75.68359375,7.12890625,81.34765625,0.08780795957043588
127,0.6025390625,0.2412109375,0.8076171875,9.66796875,12.67578125,14.00390625,48.92578125,75.68359375,7.12890625,81.34765625,0.030006317119393555
128,0.6025390625,0.2412109375,0.8076171875,9.66796875,12.67578125,14.00390625,24.90234375,53.41796875,7.12890625,81.34765625,0.014213518635502211
129,0.6025390625,0.2412109375,0.8076171875,9.66796875,12.67578125,14.00390625,24.90234375,75.68359375,0.29296875,81.34765625,0.049273531269740996
130,0.6025390625,0.2412109375,0.8076171875,9.66796875,12.67578125,14.00390625,24.90234375,75.68359375,7.12890625,79.00390625,0.003158559696778269
131,0.6025390625,0.2412109375,0.8076171875,9.66796875,12.67578125,14.00390625,24.90234375,75.68359375,7.12890625,81.34765625,0.012634238787113077
132,0.6279296875,0.3759765625,0.0791015625,7.32421875,16.66015625,8.80859375,73.92578125,78.41796875,25.29296875,54.00390625,0.051484523057485784
133,0.8525390625,0.3759765625,0.0791015625,7.32421875,16.66015625,8.80859375,73.92578125,78.41796875,25.29296875,54.00390625,0.027479469361970942
134,0.6279296875,0.4912109375,0.0791015625,7.32421875,16.66015625,8.80859375,73.92578125,78.41796875,25.29296875,54.00390625,0.06601389766266583
135,0.6279296875,0.3759765625,0.0576171875,7.32421875,16.66015625,8.80859375,73.92578125,78.41796875,25.29296875,54.00390625,0.06822488945041061
136,0.6279296875,0.3759765625,0.0791015625,14.66796875,16.66015625,8.80859375,73.92578125,78.41796875,25.29296875,54.00390625,0.04706253948199621
137,0.6279296875,0.3759765625,0.0791015625,7.32421875,17.67578125,8.80859375,73.92578125,78.41796875,25.29296875,54.00390625,0.058749210360075806
