delta,tau,gamma,beta_s,beta_h,beta_c,c_w,c_c,r_w,r_c,y
0.7529296875,0.0009765625,0.7041015625,14.82421875,14.16015625,6.30859375,86.42578125,15.91796875,62.79296875,18.84765625,0.0
0.7529296875,0.1162109375,0.4326171875,2.16796875,10.17578125,11.50390625,12.40234375,88.18359375,69.62890625,18.84765625,0.07104515314177455
0.2275390625,0.0009765625,0.4326171875,2.16796875,10.17578125,11.50390625,12.40234375,88.18359375,69.62890625,18.84765625,0.07641300915693085
0.2275390625,0.1162109375,0.7041015625,2.16796875,10.17578125,11.50390625,12.40234375,88.18359375,69.62890625,18.84765625,0.014524786864540574
0.2275390625,0.1162109375,0.4326171875,14.82421875,10.17578125,11.50390625,12.40234375,88.18359375,69.62890625,18.84765625,0.046416166719292704
0.2275390625,0.1162109375,0.4326171875,2.16796875,14.16015625,11.50390625,12.40234375,88.18359375,69.62890625,18.84765625,0.06630880959898958
0.2275390625,0.1162109375,0.4326171875,2.16796875,10.17578125,6.30859375,12.40234375,88.18359375,69.62890625,18.84765625,0.00884117461319861
0.2275390625,0.1162109375,0.4326171875,2.16796875,10.17578125,11.50390625,86.42578125,88.18359375,69.62890625,18.84765625,0.06378275970950427
0.2275390625,0.1162109375,0.4326171875,2.16796875,10.17578125,11.50390625,12.40234375,15.91796875,69.62890625,18.84765625,0.0006315124723713293
0.2275390625,0.1162109375,0.4326171875,2.16796875,10.17578125,11.50390625,12.40234375,88.18359375,62.79296875,18.84765625,0.018629617934954216
0.2275390625,0.1162109375,0.4326171875,2.16796875,10.17578125,11.50390625,12.40234375,88.18359375,69.62890625,16.50390625,0.007893905904641616
0.2275390625,0.1162109375,0.4326171875,2.16796875,10.17578125,11.50390625,12.40234375,88.18359375,69.62890625,18.84765625,0.0006315124723713293
0.2529296875,0.5009765625,0.2041015625,4.82421875,4.16015625,16.30859375,36.42578125,65.91796875,12.79296875,66.50390625,0.12156615093148089
0.7275390625,0.5009765625,0.2041015625,4.82421875,4.16015625,16.30859375,36.42578125,65.91796875,12.79296875,66.50390625,0.11146195137353963
0.2529296875,0.6162109375,0.2041015625,4.82421875,4.16015625,16.30859375,36.42578125,65.91796875,12.79296875,66.50390625,0.07262393432270288
0.2529296875,0.5009765625,0.9326171875,4.82421875,4.16015625,16.30859375,36.42578125,65.91796875,12.79296875,66.50390625,0.006315124723713293
0.2529296875,0.5009765625,0.2041015625,12.16796875,4.16015625,16.30859375,36.42578125,65.91796875,12.79296875,66.50390625,0.0031575623618566467
